Transaction_ID,Product_Name,Category,Price_USD,Quantity_Sold,Customer_Rating
TXN-1046,Headphones,Accessories,423.91,394,3.5
TXN-1047,Mouse,Accessories,644.16,227,5.0
TXN-1048,USB Drive,Accessories,811.48,212,3.7
TXN-1049,Laptop,Electronics,877.94,289,3.9
TXN-1050,Mouse,Accessories,765.73,404,4.6
TXN-1051,Laptop,Electronics,193.6,196,3.4
TXN-1052,Keyboard,Accessories,715.21,452,3.4
TXN-1053,Smartphone,Electronics,621.83,156,3.7
TXN-1054,USB Drive,Accessories,221.62,426,3.8
TXN-1055,USB Drive,Accessories,1125.03,138,4.4
TXN-1056,Tablet,Electronics,149.47,160,4.1
TXN-1057,Smartphone,Electronics,320.66,261,3.3
TXN-1058,Tablet,Electronics,627.21,378,3.5
TXN-1059,Headphones,Accessories,1082.0,18,3.6
TXN-1060,Keyboard,Accessories,875.26,140,4.7
TXN-1061,Webcam,Electronics,939.15,417,4.7
TXN-1062,Laptop,Electronics,206.53,431,4.3
TXN-1063,Keyboard,Accessories,456.16,482,4.3
TXN-1064,Mouse,Accessories,205.56,347,4.0
TXN-1065,Keyboard,Accessories,787.57,178,3.4
TXN-1066,Monitor,Electronics,296.14,286,3.4
TXN-1067,Desk Lamp,Office Supplies,784.81,144,4.4
TXN-1068,Laptop,Electronics,657.91,452,3.7
TXN-1069,USB Drive,Accessories,311.8,167,4.9
TXN-1070,Keyboard,Accessories,1072.08,292,3.9
TXN-1071,Headphones,Accessories,610.62,293,4.3
TXN-1072,Laptop,Electronics,246.36,326,4.0
TXN-1073,Monitor,Electronics,43.81,58,3.1
TXN-1074,Headphones,Accessories,1061.94,389,3.0
TXN-1075,Desk Lamp,Office Supplies,406.94,311,4.9
TXN-1076,Keyboard,Accessories,1176.69,125,3.6
TXN-1077,Headphones,Accessories,241.23,170,3.6
TXN-1078,Mouse,Accessories,674.81,232,4.7
TXN-1079,Keyboard,Accessories,690.52,289,3.4
TXN-1080,Webcam,Electronics,440.0,136,4.0
TXN-1081,Mouse,Accessories,397.22,113,4.4
TXN-1082,Webcam,Electronics,441.0,486,3.6
TXN-1083,Smartphone,Electronics,974.98,418,4.2
TXN-1084,Smartphone,Electronics,21.14,45,4.6
TXN-1085,Laptop,Electronics,99.06,409,3.1
TXN-1086,Keyboard,Accessories,415.52,101,4.2
TXN-1087,USB Drive,Accessories,811.35,60,3.9
TXN-1088,Webcam,Electronics,715.14,351,3.5
TXN-1089,Smartphone,Electronics,989.78,63,4.1
TXN-1090,Headphones,Accessories,633.86,62,3.5
TXN-1091,Headphones,Accessories,556.86,271,3.1
TXN-1092,Monitor,Electronics,502.45,364,4.3
TXN-1093,Monitor,Electronics,172.3,379,4.0
TXN-1094,Keyboard,Accessories,957.3,328,3.9
TXN-1095,Smartphone,Electronics,107.97,238,3.4
TXN-1096,USB Drive,Accessories,522.55,405,3.8
TXN-1097,Smartphone,Electronics,1099.53,248,3.5
TXN-1098,Webcam,Electronics,861.8,497,4.9
TXN-1099,Laptop,Electronics,1146.52,496,4.3
TXN-1100,Headphones,Accessories,739.89,256,3.1
